,district_ID,date,disaster_type,location,district_name,province,dead,missing,injured,house_damage,public_facility_damage
602,5204,2021-02-20,flood,Kec. Labuhan Badas Ds. Karang Dima Kec. Alas Ds. Baru Ds. Kalimango Ds. Luar Kec. Alas Barat Ds. Usar Mapin Kec. Tarano Ds. Tolo’oi,SUMBAWA,west_nusa_tenggara,0.0,0.0,0.0,0,4
603,3205,2021-02-20,landslide,Kec. Cisompet Ds. Sukanegara,GARUT,west_java,0.0,0.0,0.0,0,0
604,3217,2021-02-20,cyclone,Kec. Cikalong Wetan Ds. Puteran Kec. Cipendeuy Ds. Marga Laksana,BANDUNG BARAT,west_java,0.0,0.0,0.0,2,0
605,3217,2021-02-20,landslide,Kec. Cipongkor Ds. Sarinagen,BANDUNG BARAT,west_java,0.0,0.0,0.0,1,0
606,3201,2021-02-20,landslide,Kec. Ciawi Ds. Citapen,BOGOR,west_java,0.0,0.0,0.0,1,0
607,3201,2021-02-20,cyclone,Kec. Citeureup Ds. Tajur,BOGOR,west_java,0.0,0.0,0.0,0,0
608,3201,2021-02-20,cyclone,Kec. Jonggol Ds. Sukanagara,BOGOR,west_java,0.0,0.0,0.0,2,0
609,3201,2021-02-20,cyclone,Kec. Cigombong Ds. Cigombong,BOGOR,west_java,0.0,0.0,0.0,1,0
610,3201,2021-02-20,landslide,Kec. Gunung Putri Ds. Bojong Kulur,BOGOR,west_java,0.0,0.0,0.0,0,0
611,3217,2021-02-20,landslide,Kec. Cipatat Ds. Citatah,BANDUNG BARAT,west_java,0.0,0.0,0.0,1,0
612,3173,2021-02-20,flood,kota jakarta pusat,KOTA JAKARTA PUSAT,dki jakarta,0.0,0.0,0.0,0,0
613,5303,2021-02-20,landslide,Kec. Fatuleu Kel.  Camplong I,KUPANG,east_nusa_tenggara,0.0,0.0,0.0,0,0
614,3172,2021-02-20,flood,Kec. Makasar Kel. Cipinang Melayu Kel. Makasar Kel. Kebon Pala Kec. Duren Sawit Kel. Pondok Bambu Kel. Malaka Sari Kec. Jatinegara Kel. Cipinang Muara Kel. Kampung Melayu Kec. Kramat Jati Kel. Cililitan Kec. Cipayung Kel. Lubang Buaya,KOTA JAKARTA TIMUR,dki jakarta,0.0,0.0,0.0,0,0
615,3671,2021-02-20,flood,Kec. Cibodas  Kel. Uwung Jaya  Kel. Cibodas  Kel. Cibodas Baru Kec. Jatiuwung Kel. Keroncong  Kel. Jatake  Kec. Periuk Kel. Gebang Raya  Kel. Periuk  Kel. Sangiang Jaya  Kel. Periuk Jaya  Kec. Karawaci  Kel. Cimone Kec. Benda Kel. Jurumudi Baru,KOTA TANGERANG,banten,0.0,0.0,0.0,0,0
616,3171,2021-02-20,flood,Kec. Pancoran Kel. Duren Tiga Kel. Rawajati Kec. Tebet Kel. Manggarai Kel. Kebon Baru Kel. Tebet Barat Kec. Kebayoran Lama Kel. Pondok Pinang Kec. Pasar Minggu Kel. Jati Padang Kel. Cilandak Timur Kec. Pesanggrahan Kel. Bintaro Kec. Cilandak Kel. Gandaria Selatan Kel. Cipete Selatan Kel. Cipete Barat,KOTA JAKARTA SELATAN,dki jakarta,1.0,1.0,0.0,0,0
617,3174,2021-02-20,flood,Kec. Kembangan Kel. Kembangan Utara,KOTA JAKARTA BARAT,dki jakarta,3.0,0.0,0.0,0,0
618,3201,2021-02-19,flood,Kec.  Cileungsi Ds.  Mekarsari Kec. Citereup Kel.  Puspanegara,BOGOR,west_java,0.0,0.0,0.0,1,0
619,8207,2021-02-19,high-tide/abrasion,Kec. Morotai Selatan Ds. Wawama Kec. Morotai Utara Ds. Korago Ds. Lusuo Gorua Kec. Morotai Jaya Ds. Sopi Ds. Sopi Majiko Kec. Morotai Selatan Barat Ds. Cio Gerong Kec. Pulau Rao Ds. Laumadoro,PULAU MOROTAI,north_maluku,0.0,0.0,0.0,26,0
620,3604,2021-02-19,flood,Kec. Pontang Ds. Kelapian Kp. Nambo,SERANG,banten,0.0,0.0,0.0,0,0
621,3215,2021-02-19,flood,Kec. Ciampel Kec. Karawang Barat Kec. Karawang Timur Kec. Tegalwaru Kec. Teluk Jambe Timur Kec. Pangkalan Kec. Tirtamulya Kec. Jatisari Kec. Batujaya Kec. Rawamerta Kec. Pakisjaya Kec. Cimalaya Wetan Kec. Banyusari Kec. Cikampek Kec. Rengasdengklok,KARAWANG,west_java,0.0,0.0,0.0,23,0
622,3172,2021-02-19,flood,Kec. Makasar Kel. Cipinang Melayu,KOTA JAKARTA TIMUR,dki jakarta,0.0,0.0,0.0,0,0
623,3201,2021-02-19,landslide,Kec. Cisarua Ds. Tugu Utara,BOGOR,west_java,0.0,0.0,0.0,3,0
624,5201,2021-02-19,flood,Kec.  Lembar Ds. Labuhan Tereng,LOMBOK BARAT,west_nusa_tenggara,0.0,0.0,0.0,0,0
625,3201,2021-02-19,flood,Kec.  Gunung Putri Ds. Bojong Kulur Perum Villa Nusa Indah 1 Villa Nusa Indah 3 Villa Mahkota Pesona,BOGOR,west_java,0.0,0.0,0.0,0,0
626,3201,2021-02-18,cyclone,Kec. Ciampea Ds. Cibanteng,BOGOR,west_java,0.0,0.0,0.0,1,0
627,1473,2021-02-18,forest and land fire,Kec. Sei. Sembilan Kel. Lubuk Gaung,KOTA DUMAI,riau,0.0,0.0,0.0,0,0
628,3604,2021-02-18,flood,Kec. Kramatwatu Ds. Margasana Komp. Puri Cilegon,SERANG,banten,0.0,0.0,0.0,0,0
